,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,d,,,,,,,,,True
1,phrase_line,c,a,-1,την,False,False,True,,,False
2,phrase_line,e,p2,2,θεί,True,False,False,,,False
3,phrase_line,d,a,-1,αν,False,False,True,,,False
4,phrase_line,e,p,1,ταυ,False,False,False,,,False
5,phrase_line,d,a,-1,την,False,False,True,,,False
6,phrase_line,e,p,1,καί,True,False,True,,,False
7,phrase_line,d,a,-1,πά,True,False,False,,,False
8,phrase_line,c,a,-1,ντι,False,False,False,,,False
9,phrase_line,b,aa,-1,μον,False,False,True,,,True
10,phrase_line,a,a,-1,τε,False,False,False,,,False
11,phrase_line,d,p3,3,λού,True,False,False,,,False
12,phrase_line,d,p0,0,ντες,False,False,True,,,False
13,phrase_line,b,a2,-2,έ,True,False,False,,,False
14,phrase_line,c,o,1,ορ,False,False,False,,,False
15,phrase_line,d,o,1,τήν,True,False,True,ap,,True
16,phrase_line,c,a,-1,οί,True,False,True,,,False
17,phrase_line,d,oo,1,θε,False,False,False,,,False
18,phrase_line,c,a,-1,ό,True,False,False,,,False
19,phrase_line,b,a,-1,φρο,False,False,False,,,False
20,phrase_line,a,aa,-1,νες,False,False,True,,,True
21,phrase_line,c,o2,2,τής,True,False,True,,,False
22,phrase_line,c,p0,0,θε,False,False,False,,,False
23,phrase_line,b,a,-1,ο,False,False,False,,,False
24,phrase_line,d,oo2,2,μή,True,False,False,,,False
25,phrase_line,c,a,-1,το,False,False,False,,,False
26,phrase_line,a,a2,-2,ρος,False,False,True,ap,,True
27,phrase_line,G,a,-1,δεύ,True,False,False,,,False
28,phrase_line,a,o,1,τε,False,False,True,,,False
29,phrase_line,b,o,1,τάς,True,False,True,,,False
30,phrase_line,c,p,1,χεί,True,False,False,,,False
31,phrase_line,b,a,-1,ρας,False,False,True,,,False
32,phrase_line,a,a,-1,κρο,False,True,False,v,v,False
33,phrase_line,G,a,-1,-,False,False,False,v,,False
34,phrase_line,b,o2,2,τή,True,False,False,,,False
35,phrase_line,c,o,1,σω,False,False,False,,,False
36,phrase_line,d,o,1,μεν,False,False,True,ap,,True
37,phrase_line,d,0,0,τον,False,True,True,dd,,False
38,phrase_line,"e,f",kkoo,"1,1",-,False,False,True,,,False
39,phrase_line,e,a,-1,εξ,False,False,True,,,False
40,phrase_line,d,a,-1,αυ,False,False,False,,,False
41,phrase_line,e,p,1,τής,True,False,True,,,False
42,phrase_line,d,a,-1,τε,False,False,False,,,False
43,phrase_line,d,p0,0,χθέ,True,False,False,,,False
44,phrase_line,c,a,-1,ντα,False,False,True,,,False
45,phrase_line,d,p,1,θε,False,True,False,,,False
46,phrase_line,c,a,-1,-,False,True,False,,,False
47,phrase_line,b,a,-1,-,False,False,False,,,False
48,phrase_line,a,aa,-1,ον,False,False,True,,,False
49,phrase_line,b,o,1,δο,False,False,False,,,False
50,phrase_line,c,p,1,ξά,True,False,False,,,False
51,phrase_line,a,e,-2,ζο,False,False,False,v,,False
52,phrase_line,b,o,1,ντες,False,False,True,ap,,True
